id,district,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area
21740,San Andrés,94.0,2,2,144247,1535
21738,Los Rosales,108.0,2,2,260000,2407
21737,San Andrés,126.0,4,2,195000,1548
21736,San Andrés,120.0,5,2,190000,1583
21735,Villaverde,125.0,3,2,198500,1588
21734,Villaverde,84.0,3,2,212000,2524
21731,Villaverde,122.0,3,2,246900,2024
21730,Los Rosales,123.0,3,2,195000,1585
21729,Los Ángeles,109.0,3,2,205000,1881
21727,Los Rosales,115.0,3,1,160000,1391
21726,Villaverde,115.0,3,1,184900,1608
21721,Villaverde,95.0,4,2,144900,1525
21716,San Andrés,75.0,3,1,138000,1840
21715,Villaverde,112.0,4,2,280000,2500
21714,Los Rosales,65.0,3,1,150000,2308
21713,San Andrés,70.0,2,1,145900,2084
21711,Los Rosales,123.0,3,2,298000,2423
21709,Villaverde,72.0,2,1,138000,1917
21705,San Andrés,60.0,2,1,154000,2567
21704,Los Ángeles,78.0,4,1,146700,1881
21702,Butarque,125.0,3,3,275000,2200
21700,Butarque,97.0,2,2,266122,2744
21699,Butarque,93.0,2,2,228273,2455
21698,Los Ángeles,103.0,4,2,171900,1669
21697,Butarque,83.0,2,2,228273,2750
21695,Los Rosales,120.0,3,2,298000,2483
21694,Los Ángeles,74.0,3,1,139000,1878
21693,Butarque,125.0,3,2,272500,2180
21692,Butarque,126.0,4,2,275000,2183
21691,Butarque,158.0,3,2,289000,1829
21689,Los Ángeles,108.0,3,2,179000,1657
21686,Butarque,112.0,3,2,289000,2580
21685,Butarque,109.0,3,2,216278,1984
21684,Butarque,107.0,3,2,207503,1939
21683,Butarque,76.0,2,2,162793,2142
21682,Butarque,105.0,3,2,204999,1952
21681,Butarque,109.0,3,2,220879,2026
21680,Butarque,108.0,3,2,218258,2021
21679,Butarque,109.0,3,2,231855,2127
21678,Butarque,76.0,2,2,163397,2150
21677,Butarque,76.0,2,2,160759,2115
21676,Butarque,108.0,3,2,217169,2011
21675,Butarque,76.0,2,2,165208,2174
21674,Butarque,109.0,3,2,219775,2016
21673,Butarque,108.0,3,2,230817,2137
21672,Butarque,108.0,3,2,213722,1979
21671,Butarque,111.0,2,2,230749,2079
21670,Butarque,115.0,3,2,233789,2033
21669,Butarque,115.0,3,2,230789,2007
21668,Butarque,117.0,3,2,244171,2087
21667,Butarque,117.0,3,2,243468,2081
21666,Butarque,117.0,3,2,244798,2092
21665,Butarque,118.0,3,2,219235,1858
21664,Butarque,115.0,3,2,242789,2111
21662,Butarque,106.0,3,2,251569,2373
21661,Butarque,103.0,3,2,235402,2285
21660,Butarque,103.0,3,2,235172,2283
21659,Butarque,103.0,3,2,236227,2293
21658,Butarque,114.0,3,2,254710,2234
21657,San Andrés,150.0,2,1,159000,1060
21656,Butarque,140.0,3,3,272500,1946
21653,Los Rosales,110.0,4,2,175000,1591
21652,Villaverde,173.0,4,2,268000,1549
21651,Villaverde,75.0,2,1,156000,2080
21650,Butarque,90.0,1,1,183159,2035
21649,Los Rosales,125.0,3,2,210000,1680
21647,Los Ángeles,92.0,3,1,159900,1738
21643,San Andrés,108.0,3,1,140000,1296
21640,San Andrés,80.0,2,1,148000,1850
21639,Butarque,108.0,2,1,205000,1898
21638,Los Rosales,80.0,3,2,220000,2750
